alpha,resolution,modularity_avg,modularity_std,nmi_avg,nmi_std,ari_avg,ari_std
0.9,0.8,0.13223391167673487,0.008313365342814344,0.9196618728588886,0.07659224877662739,0.9575545018924542,0.04825991897527616
0.9,0.9,0.1366125729357751,0.0019266861093108656,0.9569976160405365,0.03031843766003741,0.9818221110703185,0.015667484049793883
0.9,1.0,0.1351963834137468,0.0031335234180361613,0.9382960959943766,0.0496649026360407,0.9702846547546734,0.029134149862454394
0.9,1.1,0.09015613062535899,0.0022396710309682084,0.45390597330902205,0.025470461229456176,0.24003357005890544,0.018540879730891743
0.9,1.2,0.0807882290538076,0.0018207319400125046,0.3543612889843338,0.013634342652642805,0.1547472093817929,0.00575982842985948
0.9,1.3,0.07576874306104323,0.0020425179802013764,0.30676457301329074,0.010857945719309649,0.13074011083910375,0.005235250476531351
0.9,1.4,0.07446766858512563,0.001070230589185063,0.28778494689765555,0.004823190452391996,0.12431472428915431,0.0026085865105037955
0.9,1.5,0.07283626467619687,0.0008231916035337139,0.27075963426319416,0.004405865169627919,0.11981855862024586,0.0021434394874009924
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.6,0.08157373886817158,0.06661104551744487,0.5772915234217203,0.4713936960786246,0.5905644955713857,0.4822022879047542
1.0,0.7,0.13612428976261842,0.0018515623579116582,0.9502313368067741,0.03483382850965889,0.9777741925543216,0.01921083988615369
1.0,0.8,0.1358392353757662,0.0020583968153715143,0.9499009133055812,0.031244033754671604,0.9774532886860658,0.017512917578825324
1.0,0.9,0.13529206571760216,0.0020851704548030033,0.9412317887054014,0.030554432041021748,0.9747932162841624,0.015702671514820108
1.0,1.0,0.1368850463270383,0.001657803369237132,0.9621296022324083,0.021845685140405184,0.9841186835549083,0.009830378330307511
1.0,1.1,0.08949621067865403,0.0025251666694037366,0.44906527630503223,0.023380530319032308,0.2382410139182214,0.018782790808951882
1.0,1.2,0.08031488994349048,0.0014773477785632655,0.350874171382476,0.00792664607022053,0.1530812189183579,0.003176461430993742
1.0,1.3,0.07540503067374073,0.001846567428127766,0.3073558544039836,0.009864989194426198,0.13058513110058015,0.005052093793762964
1.0,1.4,0.07483479372305533,0.001273903369188871,0.29002506698448255,0.005594884415986627,0.12574864132961097,0.002653305122867221
1.0,1.5,0.07308282097842853,0.0008025370029312146,0.27277208158604954,0.0031248337475313385,0.12069354018858607,0.0016791789959528026
